region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
295,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,0,l3,2607774912.0,1783539648.0,824235264.0,54517012615.24874,37285907246.97189,17231105368.276844,0.19359734593483216,0.1324073410758945,0.061190004858937656,0.009260564318181818,0.0063335925,0.0029269718181818183,49.56092055931703,33.89627931542899,15.664641243888038
562,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
562,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
562,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
511,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,0,l3,1242477888.0,950491968.0,291985920.0,25974704481.80445,19870573327.361084,6104131154.443367,0.09223971762004422,0.07056311550909476,0.021676602110949458,0.0044122084090909095,0.003375326590909091,0.0010368818181818182,23.613367710731318,18.06415757032826,5.54921014040306
585,0,gti,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
585,0,llc,4096.000000000006,4096.000000000006,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,5.8181818181818275e-08,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0
585,0,dram,4095.9999999999995,4095.9999999999995,0.0,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,8.533333333333333e-08,0.0,7.784472872901177e-05,7.784472872901177e-05,0.0
513,0,l3,463504896.0,395603072.0,67901824.0,9689832564.223072,8270306446.929709,1419526117.2933624,0.03440991677636034,0.02936898596210834,0.0050409308142519964,0.001645969090909091,0.0014048404545454545,0.00024112863636363636,8.808938694748246,7.518460406299735,1.290478288448511
513,0,gti,3413.000000000006,3413.000000000006,0.0,71350.69947932848,71350.69947932848,0.0,5.06752126983867e-07,1.013504253967734e-06,0.0,4.848011363636372e-08,4.848011363636372e-08,0.0,6.486427225393498e-05,6.486427225393498e-05,0.0
513,0,llc,3413.000000000006,3413.000000000006,0.0,71350.69947932848,71350.69947932848,0.0,5.06752126983867e-07,1.013504253967734e-06,0.0,4.848011363636372e-08,4.848011363636372e-08,0.0,6.486427225393498e-05,6.486427225393498e-05,0.0
513,0,dram,3412.9999999999995,3412.9999999999995,0.0,71350.69947932834,71350.69947932834,0.0,1.4864729058193404e-06,1.4864729058193404e-06,0.0,7.110416666666666e-08,7.110416666666666e-08,0.0,6.486427225393486e-05,6.486427225393486e-05,0.0
411,0,l3,725567744.0,522882560.0,202685184.0,15168404938.188763,10931156285.245203,4237248652.9435606,0.05386507435436351,0.03881802658112643,0.015047047773237076,0.00257659,0.0018568272727272728,0.0007197627272727273,13.789459034717057,9.937414804768366,3.852044229948691
411,0,gti,683.0000000000001,683.0000000000001,0.0,14278.50212258461,14278.50212258461,0.0,1.0140981621153842e-07,2.0281963242307684e-07,0.0,9.701704545454547e-09,9.701704545454547e-09,0.0,1.2980456475076918e-05,1.2980456475076918e-05,0.0
411,0,llc,683.0000000000001,683.0000000000001,0.0,14278.50212258461,14278.50212258461,0.0,1.0140981621153842e-07,2.0281963242307684e-07,0.0,9.701704545454547e-09,9.701704545454547e-09,0.0,1.2980456475076918e-05,1.2980456475076918e-05,0.0
411,0,dram,683.0,683.0,0.0,14278.502122584607,14278.502122584607,0.0,2.9746879422051264e-07,2.9746879422051264e-07,0.0,1.4229166666666666e-08,1.4229166666666666e-08,0.0,1.2980456475076916e-05,1.2980456475076916e-05,0.0
